source_column,rpm,target label,sample_index,value_0,fault_type_simple,fault_type_name,spectral_centroid,spectral_variance,peak_frequency,peak_amplitude,low_freq_energy_ratio,mid_freq_energy_ratio,high_freq_energy_ratio,BPFO_amplitude,BPFI_amplitude,BSF_amplitude,FR_amplitude
12kHz_DE_data B007_0 (第1列),1796,B007_0,33,-0.056014484,B,滚动体故障,2764.3238,1880843.726,3234.38,118.7445,0.0197,0.9797,0.0005,0,0,20.729,4.1059
12kHz_DE_data B007_0 (第1列),1796,B007_0,34,-0.141999857,B,滚动体故障,2762.89,2128237.712,3312.5,89.0592,0.0206,0.979,0.0005,0,0,20.6928,3.6289
12kHz_DE_data B007_0 (第1列),1796,B007_0,35,-0.179709888,B,滚动体故障,2764.3418,1887338.089,3375,79.2762,0.0205,0.979,0.0005,0,0,22.1539,1.957
12kHz_DE_data B007_0 (第1列),1796,B007_0,36,-0.099250985,B,滚动体故障,2761.0107,1817343.094,3421.88,87.3066,0.0195,0.9799,0.0006,0,0,21.0671,3.5701
12kHz_DE_data B007_0 (第1列),1796,B007_0,37,-0.162967935,B,滚动体故障,3017.0783,3695500.984,3367.19,85.4108,0.0165,0.9827,0.0009,0,0,22.6324,3.9809
12kHz_DE_data B007_0 (第1列),1796,B007_0,38,-0.042523395,B,滚动体故障,2785.8502,1709486.447,3265.62,122.6366,0.0147,0.9849,0.0004,0,0,23.5303,3.0575
12kHz_DE_data B007_0 (第1列),1796,B007_0,39,0.13692434,B,滚动体故障,2859.2701,2563642.164,3265.62,109.447,0.0164,0.983,0.0005,0,0,22.947,4.6686
12kHz_DE_data B007_0 (第1列),1796,B007_0,40,-0.088848217,B,滚动体故障,2751.5945,1549933.976,3359.38,94.3077,0.0157,0.9838,0.0005,0,0,24.3228,4.2448
12kHz_DE_data B007_0 (第1列),1796,B007_0,41,-0.04577426,B,滚动体故障,2899.5093,2739763.347,3367.19,87.7318,0.0156,0.9837,0.0007,0,0,22.0065,3.907
12kHz_DE_data B007_0 (第1列),1796,B007_0,42,-0.086410069,B,滚动体故障,2970.0362,3358093.078,3359.38,122.2401,0.017,0.9821,0.0008,0,0,22.5369,4.0604
12kHz_DE_data B007_0 (第1列),1796,B007_0,43,0.021031011,B,滚动体故障,2778.5745,1805547.062,3445.31,91.2285,0.0169,0.9826,0.0005,0,0,21.1923,3.1271
12kHz_DE_data B007_0 (第1列),1796,B007_0,44,-0.207667325,B,滚动体故障,3293.6016,5780428.712,3406.25,96.2195,0.0227,0.9752,0.0021,0,0,19.9104,3.6869
12kHz_DE_data B007_0 (第1列),1796,B007_0,45,0.131397869,B,滚动体故障,2756.0609,1594137.172,3445.31,93.9309,0.0213,0.9782,0.0004,0,0,19.0652,5.6194
12kHz_DE_data B007_0 (第1列),1796,B007_0,46,0.2232348,B,滚动体故障,3051.8739,3700044.442,3445.31,120.2769,0.0173,0.9819,0.0008,0,0,18.9681,2.5579
12kHz_DE_data B007_0 (第1列),1796,B007_0,47,0.075645539,B,滚动体故障,2770.0196,1885756.5,3312.5,104.0083,0.0213,0.9782,0.0005,0,0,19.9,2.3691
12kHz_DE_data B007_0 (第1列),1796,B007_0,48,-0.052438532,B,滚动体故障,3036.0418,4006543.355,3367.19,84.8967,0.0216,0.9773,0.0011,0,0,22.2444,3.844
12kHz_DE_data B007_0 (第1列),1796,B007_0,49,0.066218031,B,滚动体故障,2832.4783,2505584.072,3429.69,99.5439,0.0204,0.979,0.0006,0,0,19.4918,2.1471
12kHz_DE_data B007_0 (第1列),1796,B007_0,50,0.295729084,B,滚动体故障,3024.4205,3756806.384,3367.19,96.0858,0.0189,0.9802,0.0009,0,0,21.6259,1.3097
12kHz_DE_data B007_0 (第1列),1796,B007_0,51,0.00038802,B,滚动体故障,2923.6405,3152595.629,3367.19,100.1718,0.0205,0.9787,0.0007,0,0,22.5282,2.0369
12kHz_DE_data B007_0 (第1列),1796,B007_0,52,0.028020371,B,滚动体故障,2971.007,3638541.721,3445.31,74.5806,0.0229,0.9763,0.0008,0,0,20.4522,0.9478
12kHz_DE_data B007_0 (第1列),1796,B007_0,53,-0.248953307,B,滚动体故障,3031.3588,3964437.528,3367.19,88.8392,0.0217,0.9772,0.0011,0,0,21.1558,1.8235
12kHz_DE_data B007_0 (第1列),1796,B007_0,54,0.263220436,B,滚动体故障,3119.4702,4614766.944,3445.31,88.4987,0.0171,0.9818,0.0011,0,0,19.5267,0.9997
12kHz_DE_data B007_0 (第1列),1796,B007_0,55,0.039723483,B,滚动体故障,2696.6115,1357829.772,3234.38,92.4971,0.0162,0.9835,0.0003,0,0,17.5967,2.0849
12kHz_DE_data B007_0 (第1列),1796,B007_0,56,-0.16573117,B,滚动体故障,2994.979,3525406.67,3445.31,95.2138,0.0143,0.985,0.0007,0,0,19.6073,1.9977
12kHz_DE_data B007_0 (第1列),1796,B007_0,57,0.044762324,B,滚动体故障,2761.8235,1518514.977,3445.31,97.417,0.0139,0.9856,0.0005,0,0,17.6817,1.8123
12kHz_DE_data B007_0 (第1列),1796,B007_0,58,0.089299171,B,滚动体故障,2747.5731,1664145.436,3367.19,84.9913,0.0155,0.984,0.0005,0,0,18.7943,2.5089
12kHz_DE_data B007_0 (第1列),1796,B007_0,59,0.008677725,B,滚动体故障,2829.8365,2046335.658,3234.38,115.9434,0.0129,0.9866,0.0005,0,0,21.2517,1.3502
12kHz_DE_data B007_0 (第1列),1796,B007_0,60,0.091087147,B,滚动体故障,2992.3218,3440777.21,3234.38,104.7028,0.0183,0.9809,0.0007,0,0,19.6377,1.2585
12kHz_DE_data B007_0 (第1列),1796,B007_0,61,-0.033095887,B,滚动体故障,2770.3099,1997999.022,3414.06,87.3741,0.0268,0.9727,0.0005,0,0,22.1417,1.2163
12kHz_DE_data B007_0 (第1列),1796,B007_0,62,0.277361698,B,滚动体故障,3138.512,4791671.448,3375,88.8251,0.0246,0.9743,0.0011,0,0,19.6119,1.0447
12kHz_DE_data B007_0 (第1列),1796,B007_0,63,0.100189569,B,滚动体故障,2752.1587,1774013.951,3445.31,93.3136,0.0225,0.9772,0.0003,0,0,19.9844,2.2777
12kHz_DE_data B007_0 (第1列),1796,B007_0,64,-0.105265084,B,滚动体故障,2739.9333,1286183.231,3421.88,117.2863,0.0228,0.9769,0.0003,0,0,19.8744,2.114
12kHz_DE_data B007_0 (第1列),1796,B007_0,65,0.155291725,B,滚动体故障,3035.2954,3732851.636,3375,76.9223,0.0233,0.976,0.0008,0,0,19.8685,1.3487
12kHz_DE_data B007_0 (第1列),1796,B007_0,66,-0.101526591,B,滚动体故障,2770.4349,1546122.976,3257.81,88.9845,0.0243,0.9752,0.0005,0,0,20.3534,1.2736
12kHz_DE_data B007_0 (第1列),1796,B007_0,67,-0.061703497,B,滚动体故障,2898.3722,2628028.099,3265.62,104.2678,0.0203,0.9791,0.0006,0,0,18.9158,1.6603
12kHz_DE_data B007_0 (第1列),1796,B007_0,68,-0.167681688,B,滚动体故障,2976.5348,3550851.985,3375,108.261,0.02,0.9791,0.0008,0,0,17.1219,2.2505
12kHz_DE_data B007_0 (第1列),1796,B007_0,69,0.066380575,B,滚动体故障,2696.8182,1604058.634,3359.38,105.0286,0.0226,0.9769,0.0005,0,0,18.8641,2.4648
12kHz_DE_data B007_0 (第1列),1796,B007_0,70,0.146189304,B,滚动体故障,2735.5442,1690115.371,3234.38,113.7545,0.0179,0.9817,0.0004,0,0,17.0131,3.2701
12kHz_DE_data B007_0 (第1列),1796,B007_0,71,0.067030748,B,滚动体故障,2935.2931,3108425.251,3359.38,94.0181,0.0189,0.9804,0.0007,0,0,18.351,1.7345
12kHz_DE_data B007_0 (第1列),1796,B007_0,72,0.084910503,B,滚动体故障,2803.5399,2010068.174,3445.31,86.8999,0.0186,0.9809,0.0005,0,0,20.0169,1.9615
12kHz_DE_data B007_0 (第1列),1796,B007_0,73,-0.051463274,B,滚动体故障,2989.0281,3395009.386,3234.38,85.9333,0.014,0.9853,0.0007,0,0,18.0963,3.0396
12kHz_DE_data B007_0 (第1列),1796,B007_0,74,-0.003838105,B,滚动体故障,3188.5579,4789474.286,3367.19,110.9511,0.0143,0.9843,0.0015,0,0,21.3094,2.9081
12kHz_DE_data B007_0 (第1列),1796,B007_0,75,0.154641553,B,滚动体故障,2991.1042,3379520.097,3414.06,96.6914,0.0145,0.9847,0.0008,0,0,19.3501,3.3946
12kHz_DE_data B007_0 (第1列),1796,B007_0,76,0.428201822,B,滚动体故障,3479.4412,6964209.686,3390.62,85.5832,0.0181,0.9785,0.0034,0,0,19.0181,1.8356
12kHz_DE_data B007_0 (第1列),1796,B007_0,77,-0.017329193,B,滚动体故障,2850.1945,2421774.901,3445.31,93.2538,0.0183,0.9812,0.0006,0,0,20.1825,1.8592
12kHz_DE_data B007_0 (第1列),1796,B007_0,78,-0.285037906,B,滚动体故障,3083.4519,4175752.979,3367.19,103.2267,0.017,0.9821,0.0009,0,0,17.5169,3.9094
12kHz_DE_data B007_0 (第1列),1796,B007_0,79,0.079546577,B,滚动体故障,2764.8087,1634739.07,3359.38,88.2094,0.0203,0.9792,0.0006,0,0,17.0339,2.0277
12kHz_DE_data B007_0 (第1列),1796,B007_0,80,0.047688103,B,滚动体故障,2829.7399,2378788.035,3382.81,112.8041,0.0192,0.9803,0.0005,0,0,17.9451,1.787
12kHz_DE_data B007_0 (第1列),1796,B007_0,81,0.020380838,B,滚动体故障,2828.0989,2230821.999,3359.38,120.9207,0.0175,0.982,0.0004,0,0,15.6852,2.8668
12kHz_DE_data B007_0 (第1列),1796,B007_0,82,-0.051950903,B,滚动体故障,2968.2137,3300936.506,3367.19,121.9224,0.0217,0.9776,0.0007,0,0,16.6453,3.7314
12kHz_DE_data B007_0 (第1列),1796,B007_0,83,-0.054226508,B,滚动体故障,2789.4789,2284026.778,3359.38,97.4436,0.0255,0.974,0.0005,0,0,16.5603,2.2333
12kHz_DE_data B007_0 (第1列),1796,B007_0,84,0.16504432,B,滚动体故障,2681.038,1555952.189,3445.31,85.2159,0.0262,0.9734,0.0005,0,0,15.8752,3.2392
12kHz_DE_data B007_0 (第1列),1796,B007_0,85,-0.019442255,B,滚动体故障,2949.2092,3360151.652,3265.62,105.4922,0.0228,0.9764,0.0008,0,0,18.1697,4.802
12kHz_DE_data B007_0 (第1列),1796,B007_0,86,0.207630648,B,滚动体故障,3030.9779,3823933.431,3367.19,120.7823,0.0194,0.9797,0.0009,0,0,17.9295,4.0022
12kHz_DE_data B007_0 (第1列),1796,B007_0,87,-0.195801669,B,滚动体故障,2869.9133,3022948.956,3359.38,100.5321,0.0196,0.9797,0.0007,0,0,18.5649,4.872
12kHz_DE_data B007_0 (第1列),1796,B007_0,88,-0.089173305,B,滚动体故障,2959.2938,3307874.551,3234.38,120.7611,0.0146,0.9845,0.0008,0,0,17.7456,2.7272
12kHz_DE_data B007_0 (第1列),1796,B007_0,89,-0.05585194,B,滚动体故障,3145.2057,4374017.599,3359.38,131.6499,0.0125,0.9864,0.001,0,0,16.8601,3.2149
12kHz_DE_data B007_0 (第1列),1796,B007_0,90,0.005101774,B,滚动体故障,2915.1717,2620204.616,3367.19,165.1332,0.0141,0.9854,0.0005,0,0,15.5463,4.6125
12kHz_DE_data B007_0 (第1列),1796,B007_0,91,0.339128128,B,滚动体故障,3084.0687,4034820.076,3359.38,96.9952,0.0146,0.9843,0.001,0,0,17.1991,3.0128
12kHz_DE_data B007_0 (第1列),1796,B007_0,92,-0.003025388,B,滚动体故障,2699.6618,1281521.917,3445.31,97.8771,0.0151,0.9845,0.0004,0,0,15.4391,3.9725
12kHz_DE_data B007_0 (第1列),1796,B007_0,93,-0.078282907,B,滚动体故障,2921.9606,2709409.346,3445.31,96.2931,0.0152,0.9843,0.0005,0,0,14.5536,4.2295
12kHz_DE_data B007_0 (第1列),1796,B007_0,94,-0.016028847,B,滚动体故障,2759.3999,1591683.808,3265.62,93.2092,0.0159,0.9835,0.0006,0,0,13.2374,3.2415
12kHz_DE_data B007_0 (第1列),1796,B007_0,95,0.149440169,B,滚动体故障,3180.596,4820532.139,3265.62,95.9294,0.0148,0.984,0.0013,0,0,16.0256,3.9842
12kHz_DE_data B007_0 (第1列),1796,B007_0,96,-0.087222785,B,滚动体故障,2933.1565,2803876.216,3281.25,105.1227,0.0159,0.9835,0.0006,0,0,17.7942,4.7023
12kHz_DE_data B007_0 (第1列),1796,B007_0,97,-0.293002525,B,滚动体故障,3012.4903,3670696.904,3445.31,100.0633,0.0199,0.9793,0.0008,0,0,15.0745,4.6645
12kHz_DE_data B007_0 (第1列),1796,B007_0,98,0.058903586,B,滚动体故障,2751.6525,1599975.629,3421.88,92.7583,0.0215,0.978,0.0005,0,0,15.9066,5.1844
12kHz_DE_data B007_0 (第1列),1796,B007_0,99,-0.036184208,B,滚动体故障,2878.8847,2712792.757,3234.38,102.9492,0.0232,0.9762,0.0006,0,0,15.6625,4.6186
12kHz_DE_data B007_0 (第1列),1796,B007_0,100,0.049313535,B,滚动体故障,2839.1561,2115836.452,3343.75,90.1887,0.0214,0.9781,0.0006,0,0,14.3596,5.9049
12kHz_DE_data B007_0 (第1列),1796,B007_0,101,0.119532214,B,滚动体故障,3033.8768,3492838.086,3414.06,120.6762,0.0185,0.9807,0.0008,0,0,14.4314,7.2387
12kHz_DE_data B007_0 (第1列),1796,B007_0,102,0.2292489,B,滚动体故障,3056.6392,4044433.642,3289.06,92.9233,0.0177,0.9815,0.0008,0,0,13.2689,5.7138
12kHz_DE_data B007_0 (第1列),1796,B007_0,103,-0.042035765,B,滚动体故障,3015.9778,3470137.949,3281.25,103.1278,0.0154,0.9838,0.0008,0,0,12.6524,5.4902
12kHz_DE_data B007_0 (第1列),1796,B007_0,104,-0.098600812,B,滚动体故障,2782.1533,1473317.069,3445.31,102.1226,0.0162,0.9832,0.0006,0,0,14.7635,6.6661
12kHz_DE_data B007_0 (第1列),1796,B007_0,105,0.156917158,B,滚动体故障,2817.9086,2038066.193,3445.31,99.0408,0.0157,0.9837,0.0006,0,0,12.5804,6.7813
12kHz_DE_data B007_0 (第1列),1796,B007_0,106,-0.168819491,B,滚动体故障,3039.7599,3770295.433,3234.38,112.4529,0.0132,0.986,0.0008,0,0,14.6415,6.488
12kHz_DE_data B007_0 (第1列),1796,B007_0,107,0.043299435,B,滚动体故障,2939.1241,2598233.306,3382.81,95.9021,0.0118,0.9875,0.0007,0,0,13.4059,7.318
12kHz_DE_data B007_0 (第1列),1796,B007_0,108,0.111242508,B,滚动体故障,3020.7027,3439249.186,3367.19,120.8637,0.0129,0.9863,0.0008,0,0,14.2352,6.8326
12kHz_DE_data B007_0 (第1列),1796,B007_0,109,0.306131851,B,滚动体故障,2992.3009,2974291.618,3359.38,103.0609,0.0138,0.9854,0.0008,0,0,15.5696,5.9263
12kHz_DE_data B007_0 (第1列),1796,B007_0,110,-0.064466732,B,滚动体故障,3121.4107,4015859.329,3445.31,117.3484,0.0123,0.9867,0.001,0,0,13.9886,6.521
12kHz_DE_data B007_0 (第1列),1796,B007_0,111,0.000225477,B,滚动体故障,2846.1528,1867031.225,3265.62,122.5975,0.0137,0.9857,0.0005,0,0,14.3373,6.0366
12kHz_DE_data B007_0 (第1列),1796,B007_0,112,0.24485305,B,滚动体故障,2816.8569,1890578.859,3234.38,96.6815,0.0211,0.9783,0.0006,0,0,14.918,5.2225
12kHz_DE_data B007_0 (第1列),1796,B007_0,113,0.128309548,B,滚动体故障,2766.9852,1874141.963,3250,83.9177,0.023,0.9766,0.0004,0,0,12.8184,6.9213
12kHz_DE_data B007_0 (第1列),1796,B007_0,114,0.10327789,B,滚动体故障,2849.0167,2194882.62,3203.12,85.8587,0.0219,0.9776,0.0005,0,0,14.0429,5.683
12kHz_DE_data B007_0 (第1列),1796,B007_0,115,0.066055488,B,滚动体故障,2891.7729,2759288.298,3359.38,96.3498,0.0225,0.9769,0.0006,0,0,13.0526,5.2947
12kHz_DE_data B007_0 (第1列),1796,B007_0,116,0.075320453,B,滚动体故障,2797.3606,1774042.427,3445.31,98.067,0.0208,0.9788,0.0004,0,0,12.6055,6.9462
12kHz_DE_data B007_0 (第1列),1796,B007_0,117,-0.086572613,B,滚动体故障,2752.5229,1404336.762,3265.62,98.4096,0.0212,0.9784,0.0005,0,0,13.6177,6.047
12kHz_DE_data B007_0 (第1列),1796,B007_0,118,0.133998561,B,滚动体故障,3004.0087,3762504.21,3265.62,131.7612,0.0224,0.9767,0.0009,0,0,12.3098,5.6725
12kHz_DE_data B007_0 (第1列),1796,B007_0,119,-0.04382374,B,滚动体故障,2861.5371,2379004.449,3367.19,121.4032,0.0192,0.9803,0.0005,0,0,13.5209,6.0894
12kHz_DE_data B007_0 (第1列),1796,B007_0,120,-0.148664129,B,滚动体故障,2865.1571,2419213.303,3367.19,146.0155,0.017,0.9826,0.0005,0,0,13.3409,5.8858
12kHz_DE_data B007_0 (第1列),1796,B007_0,121,0.052889486,B,滚动体故障,2957.1193,3548629.774,3414.06,99.9387,0.0185,0.9807,0.0008,0,0,12.5987,5.813
12kHz_DE_data B007_0 (第1列),1796,B007_0,122,0.041674003,B,滚动体故障,2759.5168,1936208.072,3265.62,95.1917,0.0201,0.9794,0.0005,0,0,15.8731,5.5465
12kHz_DE_data B007_0 (第1列),1796,B007_0,123,-0.073244067,B,滚动体故障,3019.2431,3250217.205,3335.94,109.0216,0.0145,0.9847,0.0007,0,0,14.6082,5.4866
12kHz_DE_data B007_1 (第1列),1772,B007_1,0,0.161086961,B,滚动体故障,2890.8495,2523588.825,3382.81,104.5518,0.0202,0.979,0.0009,0,0,10.2078,1.3074
12kHz_DE_data B007_1 (第1列),1772,B007_1,1,-0.064035423,B,滚动体故障,2785.9073,1735019.191,3375,115.0612,0.0218,0.9775,0.0006,0,0,11.7956,0.582
12kHz_DE_data B007_1 (第1列),1772,B007_1,2,0.062748302,B,滚动体故障,3195.0942,4776861.209,3375,118.06,0.0184,0.9805,0.0011,0,0,12.823,0.758
12kHz_DE_data B007_1 (第1列),1772,B007_1,3,-0.145794672,B,滚动体故障,2782.7735,1478129.161,3218.75,113.0155,0.0187,0.9809,0.0004,0,0,14.3374,0.9044
12kHz_DE_data B007_1 (第1列),1772,B007_1,4,-0.270302793,B,滚动体故障,2906.2795,2329349.305,3320.31,115.2582,0.0156,0.9839,0.0005,0,0,13.3217,0.9229
12kHz_DE_data B007_1 (第1列),1772,B007_1,5,-0.088091822,B,滚动体故障,2783.0805,1549812.996,3390.62,118.9987,0.0161,0.9835,0.0004,0,0,13.8894,1.0969
12kHz_DE_data B007_1 (第1列),1772,B007_1,6,-0.141406005,B,滚动体故障,3201.5206,4905814.667,3375,120.1123,0.0177,0.9809,0.0014,0,0,11.4232,0.9221
12kHz_DE_data B007_1 (第1列),1772,B007_1,7,-0.142381265,B,滚动体故障,2777.0697,1651122.213,3375,158.7838,0.0161,0.9835,0.0004,0,0,10.7987,1.0366
12kHz_DE_data B007_1 (第1列),1772,B007_1,8,0.113786879,B,滚动体故障,2973.0995,3263152.345,3382.81,112.2291,0.0206,0.9786,0.0007,0,0,10.3453,0.964
12kHz_DE_data B007_1 (第1列),1772,B007_1,9,-0.0237247,B,滚动体故障,2908.7412,2436930.559,3375,126.1221,0.0184,0.9811,0.0005,0,0,12.0703,0.6582
12kHz_DE_data B007_1 (第1列),1772,B007_1,10,-0.016572798,B,滚动体故障,2874.3916,2095996.087,3390.62,143.3118,0.0187,0.9808,0.0004,0,0,12.513,0.8175
12kHz_DE_data B007_1 (第1列),1772,B007_1,11,-0.249822344,B,滚动体故障,2929.1998,2636195.863,3218.75,94.7172,0.021,0.9785,0.0005,0,0,14.7318,1.1426
12kHz_DE_data B007_1 (第1列),1772,B007_1,12,-0.071837499,B,滚动体故障,2883.0752,2263130.648,3375,98.9411,0.0199,0.9795,0.0006,0,0,15.3785,2.0363
12kHz_DE_data B007_1 (第1列),1772,B007_1,13,-0.020798922,B,滚动体故障,2721.7535,1332448.254,3390.62,122.855,0.0188,0.9809,0.0004,0,0,14.8505,1.965
12kHz_DE_data B007_1 (第1列),1772,B007_1,14,0.142394489,B,滚动体故障,2900.8376,2811495.361,3375,103.8936,0.0167,0.9829,0.0005,0,0,14.9003,2.1645
12kHz_DE_data B007_1 (第1列),1772,B007_1,15,-0.019986206,B,滚动体故障,2871.9191,2371419.873,3375,140.7676,0.0178,0.9817,0.0005,0,0,12.6555,3.4299
12kHz_DE_data B007_1 (第1列),1772,B007_1,16,-0.052982483,B,滚动体故障,2995.2431,3415737.859,3382.81,109.4616,0.0205,0.9787,0.0008,0,0,12.1164,2.6015
12kHz_DE_data B007_1 (第1列),1772,B007_1,17,-0.085328588,B,滚动体故障,2808.8209,1861931.727,3375,120.4704,0.0205,0.979,0.0005,0,0,12.4149,2.2273
12kHz_DE_data B007_1 (第1列),1772,B007_1,18,-0.224790687,B,滚动体故障,2933.0327,2747628.013,3390.62,139.5734,0.0193,0.9801,0.0006,0,0,13.5041,3.0851
12kHz_DE_data B007_1 (第1列),1772,B007_1,19,-0.185942853,B,滚动体故障,3210.4441,4747678.727,3218.75,104.8839,0.0206,0.978,0.0014,0,0,14.9311,1.9794
